RuleID,Condition,Coefficient,Description,Categorie
R0043,Ville=Tanger,1.2,Zone géographique Tanger,Zone
R0044,Ville=Agadir,1.12,Zone géographique Agadir,Zone
R0045,Ville=Meknès,1.1,Zone géographique Meknès,Zone
R0046,Ville=Oujda,1.08,Zone géographique Oujda,Zone
R0047,Ville=Kénitra,1.12,Zone géographique Kénitra,Zone
R0048,Ville=Tétouan,1.1,Zone géographique Tétouan,Zone
R0049,Ville=Salé,1.16,Zone géographique Salé,Zone
R0050,Ville=Nador,1.09,Zone géographique Nador,Zone
R0051,Ville=Mohammedia,1.14,Zone géographique Mohammedia,Zone
R0052,Ville=El Jadida,1.08,Zone géographique El Jadida,Zone
R0053,Ville=Beni Mellal,1.07,Zone géographique Beni Mellal,Zone
R0054,Ville=Khouribga,1.06,Zone géographique Khouribga,Zone
R0055,Ville=Settat,1.07,Zone géographique Settat,Zone
R0056,Ville=Laâyoune,1.05,Zone géographique Laâyoune,Zone
R0057,Ville=Errachidia,1.04,Zone géographique Errachidia,Zone
R0058,Ville=Essaouira,1.06,Zone géographique Essaouira,Zone
R0059,Profession=Employé de bureau,1.0,Profession Employé de bureau,Profession
R0060,Profession=Cadre supérieur,0.92,Profession Cadre supérieur,Profession
R0061,Profession=Médecin,0.88,Profession Médecin,Profession
R0062,Profession=Avocat,0.9,Profession Avocat,Profession
R0063,Profession=Commerçant,1.08,Profession Commerçant,Profession
R0064,Profession=Artisan,1.05,Profession Artisan,Profession
R0065,Profession=Enseignant,0.95,Profession Enseignant,Profession
R0066,Profession=Fonctionnaire,0.93,Profession Fonctionnaire,Profession
R0067,Profession=Ingénieur,0.9,Profession Ingénieur,Profession
R0068,Profession=Infirmier,0.98,Profession Infirmier,Profession
R0069,Profession=Chauffeur VTC,1.25,Profession Chauffeur VTC,Profession
R0070,Profession=Chauffeur taxi,1.3,Profession Chauffeur taxi,Profession
R0071,Profession=Étudiant,1.35,Profession Étudiant,Profession
R0072,Profession=Retraité,0.85,Profession Retraité,Profession
R0073,Profession=Agriculteur,1.02,Profession Agriculteur,Profession
R0074,Profession=Technicien,1.0,Profession Technicien,Profession
R0075,Profession=Comptable,0.94,Profession Comptable,Profession
R0076,Profession=Architecte,0.91,Profession Architecte,Profession
R0077,Profession=Pharmacien,0.89,Profession Pharmacien,Profession
R0078,Profession=Sans emploi,1.4,Profession Sans emploi,Profession
R0079,Usage=Privé,1.0,Usage véhicule Privé,Usage
R0080,Usage=Privé-Travail,1.08,Usage véhicule Privé-Travail,Usage
R0081,Usage=Professionnel,1.2,Usage véhicule Professionnel,Usage
R0082,Usage=VTC/Taxi,1.45,Usage véhicule VTC/Taxi,Usage
R0083,Categorie=Citadine,0.92,Catégorie Citadine,Vehicule
R0084,Categorie=Compacte,1.0,Catégorie Compacte,Vehicule
R0085,Categorie=Berline,1.05,Catégorie Berline,Vehicule
R0086,Categorie=SUV,1.12,Catégorie SUV,Vehicule
R0087,Categorie=Pick-up,1.18,Catégorie Pick-up,Vehicule
R0088,Carburant=Essence,1.0,Carburant Essence,Vehicule
R0089,Carburant=Diesel,1.02,Carburant Diesel,Vehicule
R0090,Carburant=Hybride,0.95,Carburant Hybride,Vehicule
R0091,Carburant=Électrique,0.88,Carburant Électrique,Vehicule
R0092,NombreSinistres5Ans=0,1.0,0 sinistres sur 5 ans,Historique
R0093,NombreSinistres5Ans=1,1.18,1 sinistres sur 5 ans,Historique
R0094,NombreSinistres5Ans=2,1.36,2 sinistres sur 5 ans,Historique
R0095,NombreSinistres5Ans=3,1.54,3 sinistres sur 5 ans,Historique
R0096,NombreSinistres5Ans=4,1.72,4 sinistres sur 5 ans,Historique
R0097,NombreSinistres5Ans=5,1.9,5 sinistres sur 5 ans,Historique
R0098,Kilometrage>5000,1.1,Kilométrage supérieur à 5000 km/an,Kilometrage
R0099,Kilometrage>10000,1.2,Kilométrage supérieur à 10000 km/an,Kilometrage
R0100,Kilometrage>15000,1.3,Kilométrage supérieur à 15000 km/an,Kilometrage
R0101,Kilometrage>20000,1.4,Kilométrage supérieur à 20000 km/an,Kilometrage
R0102,Kilometrage>25000,1.5,Kilométrage supérieur à 25000 km/an,Kilometrage
R0103,Kilometrage>30000,1.6,Kilométrage supérieur à 30000 km/an,Kilometrage
R0104,Kilometrage>40000,1.8,Kilométrage supérieur à 40000 km/an,Kilometrage
R0105,Kilometrage>50000,2.0,Kilométrage supérieur à 50000 km/an,Kilometrage
R0106,GarageFerme=True,0.92,Garage fermé=True,Stationnement
R0107,GarageFerme=False,1.08,Garage fermé=False,Stationnement
R0108,AncienneteClient>=0,1.0,Fidélité client 0+ ans,Fidelite
R0109,AncienneteClient>=1,0.99,Fidélité client 1+ ans,Fidelite
R0110,AncienneteClient>=3,0.97,Fidélité client 3+ ans,Fidelite
R0111,AncienneteClient>=5,0.95,Fidélité client 5+ ans,Fidelite
R0112,AncienneteClient>=10,0.9,Fidélité client 10+ ans,Fidelite
R0113,AncienneteClient>=15,0.85,Fidélité client 15+ ans,Fidelite
R0114,AncienneteClient>=20,0.85,Fidélité client 20+ ans,Fidelite
R0115,PuissanceCV>=3,1.075,Puissance fiscale 3 CV+,Puissance
R0116,PuissanceCV>=4,1.1,Puissance fiscale 4 CV+,Puissance
R0117,PuissanceCV>=5,1.125,Puissance fiscale 5 CV+,Puissance
R0118,PuissanceCV>=6,1.15,Puissance fiscale 6 CV+,Puissance
R0119,PuissanceCV>=7,1.175,Puissance fiscale 7 CV+,Puissance
R0120,PuissanceCV>=8,1.2,Puissance fiscale 8 CV+,Puissance
R0121,PuissanceCV>=9,1.225,Puissance fiscale 9 CV+,Puissance
R0122,PuissanceCV>=10,1.25,Puissance fiscale 10 CV+,Puissance
R0123,PuissanceCV>=11,1.275,Puissance fiscale 11 CV+,Puissance
R0124,PuissanceCV>=12,1.3,Puissance fiscale 12 CV+,Puissance
R0125,PuissanceCV>=13,1.325,Puissance fiscale 13 CV+,Puissance
R0126,PuissanceCV>=14,1.35,Puissance fiscale 14 CV+,Puissance
