GarantieID,Nom,Pack,Plafond,Franchise,Description,Active
GA00054,Couverture des frais de réparation de la carrosserie,Bronze,80000,500,Couverture des frais de réparation de la carrosserie. Applicable selon conditions générales CG-2026.,True
GA00055,Protection contre les dommages causés par les collisions,Gold,150000,2000,Protection contre les dommages causés par les collisions. Applicable selon conditions générales CG-2026.,True
GA00056,Garantie des dommages causés par une chute d'objet,Business,40000,1000,Garantie des dommages causés par une chute d'objet. Applicable selon conditions générales CG-2026.,True
GA00057,Couverture des frais de réparation des phares,VIP,25000,500,Couverture des frais de réparation des phares. Applicable selon conditions générales CG-2026.,True
GA00058,Assistance médicale après un sinistre,Silver,30000,0,Assistance médicale après un sinistre. Applicable selon conditions générales CG-2026.,True
GA00059,Protection contre les dommages causés par les tempêtes,Eco+,100000,1500,Protection contre les dommages causés par les tempêtes. Applicable selon conditions générales CG-2026.,True
GA00060,Garantie des dommages causés par les inondations souterraines,Gold,50000,2000,Garantie des dommages causés par les inondations souterraines. Applicable selon conditions générales CG-2026.,True
GA00061,Couverture des frais de réparation de la suspension,Bronze,40000,1000,Couverture des frais de réparation de la suspension. Applicable selon conditions générales CG-2026.,True
GA00062,Protection contre les dommages causés par les insectes,Premium,20000,500,Protection contre les dommages causés par les insectes. Applicable selon conditions générales CG-2026.,True
GA00063,Garantie des dommages causés par les travaux publics,VIP,60000,1500,Garantie des dommages causés par les travaux publics. Applicable selon conditions générales CG-2026.,True
GA00064,Couverture des frais de réparation du moteur,Silver,120000,2000,Couverture des frais de réparation du moteur. Applicable selon conditions générales CG-2026.,True
GA00065,Assistance en cas de perte de clés,Eco,15000,0,Assistance en cas de perte de clés. Applicable selon conditions générales CG-2026.,True
GA00066,Protection contre les dommages causés par les glissements de terrain,Gold,80000,1000,Protection contre les dommages causés par les glissements de terrain. Applicable selon conditions générales CG-2026.,True
GA00067,Garantie des dommages causés par les fuites de liquide,Business,30000,1500,Garantie des dommages causés par les fuites de liquide. Applicable selon conditions générales CG-2026.,True
GA00068,Couverture des frais de réparation des glaces,Bronze,25000,500,Couverture des frais de réparation des glaces. Applicable selon conditions générales CG-2026.,True
GA00069,Protection contre les dommages causés par les chocs,Premium,100000,2000,Protection contre les dommages causés par les chocs. Applicable selon conditions générales CG-2026.,True
GA00070,Garantie des dommages causés par les explosions de gaz,VIP,50000,1000,Garantie des dommages causés par les explosions de gaz. Applicable selon conditions générales CG-2026.,True
GA00071,Couverture des frais de réparation des clignotants,Silver+,20000,500,Couverture des frais de réparation des clignotants. Applicable selon conditions générales CG-2026.,True
GA00072,Assistance pour les véhicules électriques,Eco,60000,1500,Assistance pour les véhicules électriques. Applicable selon conditions générales CG-2026.,True
GA00073,Protection contre les dommages causés par les arbres,Gold,40000,0,Protection contre les dommages causés par les arbres. Applicable selon conditions générales CG-2026.,True
GA00074,Garantie des dommages causés par les pannes de batterie,Bronze,30000,1000,Garantie des dommages causés par les pannes de batterie. Applicable selon conditions générales CG-2026.,True
GA00075,Couverture des frais de réparation de la direction,VIP,50000,2000,Couverture des frais de réparation de la direction. Applicable selon conditions générales CG-2026.,True
GA00076,Protection contre les dommages causés par les accidents de la route,Silver,150000,1500,Protection contre les dommages causés par les accidents de la route. Applicable selon conditions générales CG-2026.,True
GA00077,Garantie des dommages causés par les crevaisons,Eco+,20000,500,Garantie des dommages causés par les crevaisons. Applicable selon conditions générales CG-2026.,True
GA00078,Couverture des frais de réparation des freins,Gold,30000,1000,Couverture des frais de réparation des freins. Applicable selon conditions générales CG-2026.,True
GA00079,Assistance en cas de panne de carburant,Business,15000,0,Assistance en cas de panne de carburant. Applicable selon conditions générales CG-2026.,True
GA00080,Protection contre les dommages causés par les chenilles,Bronze,40000,1500,Protection contre les dommages causés par les chenilles. Applicable selon conditions générales CG-2026.,True
GA00081,Garantie des dommages causés par les mouvements de terrain,VIP,80000,2000,Garantie des dommages causés par les mouvements de terrain. Applicable selon conditions générales CG-2026.,True
GA00082,Couverture des frais de réparation de la boîte de vitesses,Silver,100000,1000,Couverture des frais de réparation de la boîte de vitesses. Applicable selon conditions générales CG-2026.,True
GA00083,Protection contre les dommages causés par les fissures,Eco,20000,500,Protection contre les dommages causés par les fissures. Applicable selon conditions générales CG-2026.,True
GA00084,Garantie des dommages causés par les écoulements d'eau,Gold,50000,1500,Garantie des dommages causés par les écoulements d'eau. Applicable selon conditions générales CG-2026.,True
GA00085,Couverture des frais de réparation des sièges,Premium,25000,0,Couverture des frais de réparation des sièges. Applicable selon conditions générales CG-2026.,True
GA00086,Assistance en cas de sinistre corporel,VIP,100000,1000,Assistance en cas de sinistre corporel. Applicable selon conditions générales CG-2026.,True
GA00087,Protection contre les dommages causés par les accidents de stationnement,Bronze,30000,500,Protection contre les dommages causés par les accidents de stationnement. Applicable selon conditions générales CG-2026.,True
GA00088,Garantie des dommages causés par les chocs thermiques,Silver+,40000,2000,Garantie des dommages causés par les chocs thermiques. Applicable selon conditions générales CG-2026.,True
GA00089,Couverture des frais de réparation du toit ouvrant,Eco,20000,1000,Couverture des frais de réparation du toit ouvrant. Applicable selon conditions générales CG-2026.,True
GA00090,Protection contre les dommages causés par les intempéries,Business,60000,1500,Protection contre les dommages causés par les intempéries. Applicable selon conditions générales CG-2026.,True
GA00091,Garantie des dommages causés par les accidents domestiques,Gold,50000,0,Garantie des dommages causés par les accidents domestiques. Applicable selon conditions générales CG-2026.,True
GA00092,Couverture des frais de réparation de l'habitacle,VIP,30000,500,Couverture des frais de réparation de l'habitacle. Applicable selon conditions générales CG-2026.,True
GA00093,Assistance en cas de défaillance technique,Silver,40000,1000,Assistance en cas de défaillance technique. Applicable selon conditions générales CG-2026.,True
GA00094,Protection contre les dommages causés par les matières dangereuses,Premium,80000,2000,Protection contre les dommages causés par les matières dangereuses. Applicable selon conditions générales CG-2026.,True
GA00095,Garantie des dommages causés par les explosions,Bronze,60000,1500,Garantie des dommages causés par les explosions. Applicable selon conditions générales CG-2026.,True
GA00096,Couverture des frais de réparation du système de navigation,Eco+,30000,500,Couverture des frais de réparation du système de navigation. Applicable selon conditions générales CG-2026.,True
GA00097,Protection contre les dommages causés par les glissements de roches,Gold,70000,1000,Protection contre les dommages causés par les glissements de roches. Applicable selon conditions générales CG-2026.,True
GA00098,Garantie des dommages causés par les fuites d'air,Business,20000,0,Garantie des dommages causés par les fuites d'air. Applicable selon conditions générales CG-2026.,True
GA00099,Couverture des frais de réparation des feux arrière,VIP,15000,500,Couverture des frais de réparation des feux arrière. Applicable selon conditions générales CG-2026.,True
GA00100,Assistance en cas de pépins mécaniques,Silver+,50000,1500,Assistance en cas de pépins mécaniques. Applicable selon conditions générales CG-2026.,True
